,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
2025912,GSM,334,3,30003,35003,0,-97.136711,18.833111,4690,17,1,1286310023,1471889455,0
2025914,GSM,334,3,6003,33752,0,-103.759006,19.184361,11462,8,1,1286315117,1456250903,0
2025916,GSM,334,3,6003,33733,0,-103.749151,19.250497,1299,95,1,1286318116,1453838172,0
2025917,GSM,334,3,6003,39113,0,-103.74070400000001,19.213749,1728,40,1,1286319016,1456250903,0
2025918,GSM,334,3,6003,33653,0,-103.721965,19.232575,2732,9,1,1286320517,1505856279,0
2025942,GSM,334,3,6002,38621,0,-103.879623,18.920517,1000,3,1,1286324417,1294749323,0
2025947,GSM,334,20,2121,40842,0,-104.20051600000001,19.020767000000003,1000,2,1,1286328041,1288719871,0
2026051,GSM,334,3,9000,32441,0,-98.948164,19.317782,3823,93,1,1286351196,1474058456,0
2026052,GSM,334,3,9000,32211,0,-98.903227,19.294528,8842,34,1,1286351400,1494098796,0
2026053,GSM,334,3,9000,38063,0,-98.876908,19.288376,2599,15,1,1286351416,1432148344,0
2026054,GSM,334,3,9000,34842,0,-98.869793,19.294249,2240,7,1,1286351719,1437693251,0
2026055,GSM,334,3,9000,34182,0,-98.786658,19.303666,3702,4,1,1286352316,1287533975,0
2026056,GSM,334,3,9000,34181,0,-98.75431800000001,19.306960999999998,1174,5,1,1286352616,1323842002,0
2026057,GSM,334,3,9000,34531,0,-98.717575,19.330521,2318,27,1,1286353216,1436981800,0
2026060,GSM,334,3,21006,10201,0,-98.592682,19.343491,1043,10,1,1286355623,1466228352,0
2026061,GSM,334,3,21006,60043,0,-98.42335,19.269144,5792,51,1,1286356519,1467039582,0
2026062,GSM,334,3,21015,9751,0,-98.230427,19.083154,1000,7,1,1286358618,1482538681,0
2026063,GSM,334,3,21015,9752,0,-98.23685,19.062026,1515,23,1,1286358919,1475410054,0
2026064,GSM,334,3,21015,30751,0,-98.226013,19.050751,1000,6,1,1286359218,1422896232,0
2026065,GSM,334,3,21015,30011,0,-98.234164,19.047617000000002,1302,621,1,1286359518,1432148344,0
2026066,GSM,334,3,21015,30753,0,-98.233783,19.046498,3227,19,1,1286359818,1482087717,0
2026067,GSM,334,3,21015,9403,0,-98.230035,19.047645000000003,1782,7,1,1286360418,1432148344,0
2026140,GSM,334,3,21015,30882,0,-98.22991999999999,19.093362,1000,29,1,1286379100,1491064509,0
2026143,GSM,334,3,21001,10232,0,-98.10545400000001,19.064969,4988,59,1,1286382620,1488971386,0
2026144,GSM,334,3,21012,33061,0,-97.864322,18.994504,3800,24,1,1286383821,1346744786,0
2026147,GSM,334,20,143,33459,0,-99.22567099999999,19.789783,108767,3009,1,1286385624,1487187113,0
2026148,GSM,334,3,21013,39071,0,-97.477188,18.741898000000003,4875,45,1,1286385923,1337697649,0
2026150,GSM,334,3,21002,32081,0,-97.428658,18.485185,13500,9,1,1286386901,1432048257,0
2026151,GSM,334,3,21002,39091,0,-97.46566700000001,18.572795000000003,5258,54,1,1286387121,1466530452,0
2026152,GSM,334,3,21002,32131,0,-97.454725,18.49568,4102,185,1,1286387421,1430742783,0
2026153,GSM,334,3,21002,32043,0,-97.431206,18.474171,1872,157,1,1286387721,1477434417,0
2026154,GSM,334,3,21002,32042,0,-97.417941,18.467303,1298,388,1,1286388021,1477434417,0
2026157,GSM,334,3,21002,32121,0,-97.42197900000001,18.451375,19118,42,1,1286392522,1344872534,0
2026158,GSM,334,3,21002,39171,0,-97.356167,18.338544,8689,50,1,1286392824,1337694048,0
